,variable,value,Type,Mass
0,Power_Pick_1,0.0,Preharvest,2 tomatoes
1,Power_Pick_1,0.0,Preharvest,2 tomatoes
2,Power_Pick_1,0.0,Preharvest,2 tomatoes
3,Power_Pick_1,0.0,Preharvest,2 tomatoes
4,Power_Pick_1,0.0,Preharvest,2 tomatoes
5,Power_Pick_1,0.0,Preharvest,2 tomatoes
6,Power_Pick_1,0.0,Preharvest,2 tomatoes
7,Power_Pick_1,1.0,Preharvest,2 tomatoes
8,Power_Pick_1,1.0,Preharvest,2 tomatoes
9,Power_Pick_1,1.0,Preharvest,2 tomatoes
10,Power_Pick_1,0.0,Preharvest,2 tomatoes
11,Power_Pick_1,0.0,Preharvest,2 tomatoes
12,Power_Pick_1,0.0,Preharvest,2 tomatoes
13,Power_Pick_1,0.0,Preharvest,2 tomatoes
14,Power_Pick_1,0.0,Preharvest,2 tomatoes
15,Power_Pick_1,0.0,Preharvest,2 tomatoes
16,Power_Pick_1,0.0,Preharvest,2 tomatoes
17,Power_Pick_1,0.0,Preharvest,2 tomatoes
18,Power_Pick_1,0.0,Preharvest,2 tomatoes
19,Power_Pick_1,0.0,Preharvest,2 tomatoes
20,Power_Pick_1,0.0,Preharvest,2 tomatoes
21,Power_Pick_1,0.0,Preharvest,2 tomatoes
22,Power_Pick_1,0.0,Preharvest,2 tomatoes
23,Power_Pick_1,0.0,Preharvest,2 tomatoes
24,Power_Pick_1,0.0,Preharvest,2 tomatoes
25,Power_Pick_1,0.0,Preharvest,2 tomatoes
26,Power_Pick_1,0.0,Preharvest,2 tomatoes
27,Power_Pick_1,0.0,Preharvest,2 tomatoes
28,Power_Pick_1,0.0,Preharvest,2 tomatoes
29,Power_Pick_1,0.0,Preharvest,2 tomatoes
30,Power_Pick_1,0.0,Preharvest,2 tomatoes
31,Power_Pick_1,0.0,Preharvest,2 tomatoes
32,Power_Pick_1,0.0,Preharvest,2 tomatoes
33,Power_Pick_1,0.0,Preharvest,2 tomatoes
34,Power_Pick_1,1.0,Preharvest,2 tomatoes
35,Power_Pick_1,1.0,Preharvest,2 tomatoes
36,Power_Pick_1,0.0,Preharvest,2 tomatoes
37,Power_Pick_1,0.0,Preharvest,2 tomatoes
38,Power_Pick_1,0.0,Preharvest,2 tomatoes
39,Power_Pick_1,0.0,Preharvest,2 tomatoes
40,Power_Pick_1,0.0,Preharvest,2 tomatoes
